Total,het,aob,
621240,6.024697e-11,5.468326e-11,5.563703e-12,
626250,6.024697e-11,5.468326e-11,5.563703e-12,
631260,6.024697e-11,5.468326e-11,5.563703e-12,
636270,6.024697e-11,5.468326e-11,5.563703e-12,
641280,6.024697e-11,5.468326e-11,5.563703e-12,
646290,6.024697e-11,5.468326e-11,5.563703e-12,
651300,6.024697e-11,5.468326e-11,5.563703e-12,
656310,6.024697e-11,5.468326e-11,5.563703e-12,
661320,6.024697e-11,5.468326e-11,5.563703e-12,
666330,6.024697e-11,5.468326e-11,5.563703e-12,
671340,6.024697e-11,5.468326e-11,5.563703e-12,
676350,6.024697e-11,5.468326e-11,5.563703e-12,
681360,6.024697e-11,5.468326e-11,5.563703e-12,
686370,6.024697e-11,5.468326e-11,5.563703e-12,
691380,6.024697e-11,5.468326e-11,5.563703e-12,
696390,6.024697e-11,5.468326e-11,5.563703e-12,
701400,6.024697e-11,5.468326e-11,5.563703e-12,
706410,6.024697e-11,5.468326e-11,5.563703e-12,
711420,6.024697e-11,5.468326e-11,5.563703e-12,
716430,6.024697e-11,5.468326e-11,5.563703e-12,
